id temperature vibration signalStrength latency bandwidth
1 98.45 1.23 58.32 2.15 487.23
2 102.34 0.87 72.11 5.43 512.45
3 95.67 2.11 55.67 8.92 420.12
4 108.92 1.45 68.34 3.67 598.34
5 99.23 0.92 71.45 2.34 515.67
6 103.45 1.67 62.11 6.78 475.23
7 101.12 0.78 69.87 4.12 520.45
8 97.89 2.34 58.92 7.21 405.67
9 104.56 1.11 70.23 3.45 535.12
10 99.34 0.65 65.34 2.89 495.78
11 102.45 1.92 61.23 5.67 480.34
12 96.78 2.45 67.89 8.15 425.23
13 105.23 1.34 70.11 4.23 540.45
14 100.12 0.89 59.45 3.12 500.67
15 103.89 1.78 68.92 6.34 510.12
16 98.67 2.12 63.67 7.89 430.78
17 101.34 1.01 71.56 2.56 525.34
18 99.45 0.95 62.34 5.23 505.67
19 104.12 1.56 69.23 8.45 535.89
20 97.23 2.34 57.89 4.67 415.45
21 102.56 1.23 70.67 3.34 520.12
22 100.89 0.78 64.11 6.78 490.34
23 103.34 1.89 68.45 7.21 515.67
24 98.12 2.01 61.92 2.12 435.89
25 105.67 1.12 71.34 5.89 545.23
26 99.78 0.87 65.78 8.67 510.45
27 101.45 1.67 69.89 4.34 505.12
28 96.34 2.23 59.34 3.56 420.67
29 104.89 1.34 70.45 6.12 535.78
30 99.56 0.92 66.23 7.45 495.34
31 102.23 1.78 63.12 2.78 515.89
32 97.89 2.11 68.34 5.34 425.12
33 103.67 1.23 70.78 8.23 540.45
34 100.34 0.65 62.45 4.12 500.67
35 105.12 1.45 69.11 3.89 525.23
36 98.45 2.34 61.67 6.56 410.78
37 101.78 1.01 71.23 7.34 530.34
38 99.12 0.89 64.89 2.34 505.67
39 104.56 1.67 70.12 5.67 540.89
40 96.78 2.12 57.56 8.12 420.45
41 102.89 1.34 69.67 4.23 515.12
42 99.34 0.78 63.34 3.67 495.78
43 103.45 1.89 68.78 6.89 510.34
44 97.67 2.01 61.11 7.23 435.67
45 105.34 1.12 70.89 2.56 545.78
46 98.92 0.87 66.45 5.12 500.45
47 101.23 1.78 69.34 8.34 520.67
48 99.67 0.92 59.89 4.78 485.12
49 104.11 1.23 71.67 3.23 535.45
50 96.45 2.34 64.12 6.45 415.89
